,index,Image_ID,Question,Ground_Truth,Question_Type
2091,3303,7354.JPG,How many buildings are in this image?,4,Simple_Counting
2092,3304,7354.JPG,What is the condition of road?,flooded,Condition_Road
2093,3305,7354.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2094,3306,7354.JPG,Is the entire road non flooded?,No,Yes/No_Road
2095,3307,7354.JPG,How many flooded buildings can be seen in this image?,4,Complex_Counting
2096,3314,7356.JPG,How many buildings can be seen in this image?,4,Simple_Counting
2097,3315,7356.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2098,3316,7356.JPG,How many buildings are flooded in this image?,4,Complex_Counting
2099,3317,7356.JPG,Is the entire road non flooded?,No,Yes/No_Road
2100,3318,7356.JPG,What is the condition of road?,flooded,Condition_Road
2101,3319,7357.JPG,What is the condition of road?,flooded,Condition_Road
2102,3320,7357.JPG,How many buildings can be seen in the image?,6,Simple_Counting
2103,3321,7357.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2104,3322,7357.JPG,How many buildings are non flooded in this image?,1,Complex_Counting
2105,3323,7357.JPG,How many buildings are flooded?,5,Complex_Counting
2106,3324,7357.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2107,3347,7362.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2108,3348,7362.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2109,3349,7362.JPG,How many buildings are in this image?,7,Simple_Counting
2110,3350,7362.JPG,How many buildings are flooded in this image?,7,Complex_Counting
2111,3351,7362.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2112,3352,7363.JPG,What is the condition of road?,flooded,Condition_Road
2113,3353,7363.JPG,Is the entire road non flooded?,No,Yes/No_Road
2114,3354,7363.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2115,3355,7363.JPG,How many buildings can be seen in the image?,11,Simple_Counting
2116,3356,7363.JPG,How many buildings are flooded?,11,Complex_Counting
2117,3357,7364.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2118,3358,7364.JPG,How many flooded buildings can be seen in this image?,7,Complex_Counting
2119,3359,7364.JPG,How many buildings are non flooded in this image?,1,Complex_Counting
2120,3360,7364.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2121,3361,7364.JPG,Is the entire road non flooded?,No,Yes/No_Road
2122,3362,7364.JPG,How many buildings are in this image?,8,Simple_Counting
2123,3363,7366.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2124,3364,7366.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2125,3365,7366.JPG,How many buildings are non flooded in this image?,8,Complex_Counting
2126,3366,7366.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2127,3367,7366.JPG,How many buildings can be seen in this image?,8,Simple_Counting
2128,3384,7372.JPG,What is the condition of road?,flooded,Condition_Road
2129,3385,7372.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2130,3386,7372.JPG,How many buildings can be seen in the image?,2,Simple_Counting
2131,3387,7372.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2132,3388,7372.JPG,How many buildings are non flooded in this image?,1,Complex_Counting
2133,3389,7372.JPG,How many buildings are flooded?,1,Complex_Counting
2134,3396,7374.JPG,How many flooded buildings can be seen in this image?,2,Complex_Counting
2135,3397,7374.JPG,What is the condition of road?,flooded,Condition_Road
2136,3398,7374.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2137,3399,7374.JPG,How many buildings are non flooded?,3,Complex_Counting
2138,3400,7374.JPG,Is the entire road non flooded?,No,Yes/No_Road
2139,3401,7374.JPG,How many buildings are in the image?,5,Simple_Counting
2140,3402,7375.JPG,How many buildings can be seen in this image?,4,Simple_Counting
2141,3403,7375.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2142,3404,7375.JPG,How many buildings are flooded?,1,Complex_Counting
2143,3405,7375.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2144,3406,7375.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2145,3407,7375.JPG,How many buildings are non flooded?,3,Complex_Counting
2146,3414,7377.JPG,How many buildings are flooded?,2,Complex_Counting
2147,3415,7377.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2148,3416,7377.JPG,Is the entire road non flooded?,No,Yes/No_Road
2149,3417,7377.JPG,How many buildings can be seen in this image?,5,Simple_Counting
2150,3418,7377.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2151,3419,7377.JPG,How many buildings are non flooded in this image?,3,Complex_Counting
2152,3420,7405.JPG,How many buildings are flooded in this image?,11,Complex_Counting
2153,3421,7405.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
2154,3422,7405.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2155,3423,7405.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2156,3424,7405.JPG,How many buildings can be seen in the image?,14,Simple_Counting
2157,3425,7405.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2158,3449,7410.JPG,How many buildings are in this image?,17,Simple_Counting
2159,3450,7410.JPG,How many buildings are flooded?,17,Complex_Counting
2160,3451,7410.JPG,What is the condition of road?,flooded,Condition_Road
2161,3452,7410.JPG,Is the entire road non flooded?,No,Yes/No_Road
2162,3453,7410.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2163,3454,7411.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2164,3455,7411.JPG,How many buildings are flooded in this image?,18,Complex_Counting
2165,3456,7411.JPG,Is the entire road non flooded?,No,Yes/No_Road
2166,3457,7411.JPG,What is the condition of road?,flooded,Condition_Road
2167,3458,7411.JPG,How many buildings can be seen in this image?,18,Simple_Counting
2168,3459,7412.JPG,What is the condition of road?,flooded,Condition_Road
2169,3460,7412.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2170,3461,7412.JPG,Is the entire road non flooded?,No,Yes/No_Road
2171,3462,7412.JPG,How many buildings can be seen in the image?,21,Simple_Counting
2172,3463,7412.JPG,How many buildings are flooded?,21,Complex_Counting
2173,3469,7414.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2174,3470,7414.JPG,How many buildings are flooded?,17,Complex_Counting
2175,3471,7414.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2176,3472,7414.JPG,How many buildings can be seen in the image?,17,Simple_Counting
2177,3473,7414.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2178,3489,7418.JPG,What is the condition of road?,flooded,Condition_Road
2179,3490,7418.JPG,How many buildings are non flooded in this image?,1,Complex_Counting
2180,3491,7418.JPG,Is the entire road non flooded?,No,Yes/No_Road
2181,3492,7418.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2182,3493,7418.JPG,How many buildings are flooded in this image?,24,Complex_Counting
2183,3494,7418.JPG,How many buildings can be seen in this image?,25,Simple_Counting
2184,3495,7419.JPG,How many buildings are non flooded in this image?,3,Complex_Counting
2185,3496,7419.JPG,How many buildings are in this image?,30,Simple_Counting
2186,3497,7419.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2187,3498,7419.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2188,3499,7419.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2189,3500,7419.JPG,How many buildings are flooded?,27,Complex_Counting
2190,3512,7422.JPG,What is the condition of road?,flooded,Condition_Road
2191,3513,7422.JPG,How many buildings are in this image?,24,Simple_Counting
2192,3514,7422.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2193,3515,7422.JPG,How many flooded buildings can be seen in this image?,24,Complex_Counting
2194,3516,7422.JPG,Is the entire road non flooded?,No,Yes/No_Road
2195,3535,7426.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2196,3536,7426.JPG,How many buildings can be seen in the image?,21,Simple_Counting
2197,3537,7426.JPG,How many flooded buildings can be seen in this image?,21,Complex_Counting
2198,3538,7426.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2199,3539,7426.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2200,3540,7427.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2201,3541,7427.JPG,How many buildings can be seen in the image?,19,Simple_Counting
2202,3542,7427.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2203,3543,7427.JPG,How many flooded buildings can be seen in this image?,19,Complex_Counting
2204,3544,7427.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2205,3545,7428.JPG,How many flooded buildings can be seen in this image?,20,Complex_Counting
2206,3546,7428.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2207,3547,7428.JPG,How many buildings can be seen in the image?,20,Simple_Counting
2208,3548,7428.JPG,Is the entire road non flooded?,No,Yes/No_Road
2209,3549,7428.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2210,3550,7429.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2211,3551,7429.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2212,3552,7429.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2213,3553,7429.JPG,How many buildings can be seen in this image?,14,Simple_Counting
2214,3554,7429.JPG,How many buildings are flooded?,14,Complex_Counting
2215,3555,7430.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2216,3556,7430.JPG,How many buildings are in the image?,11,Simple_Counting
2217,3557,7430.JPG,How many buildings are flooded in this image?,11,Complex_Counting
2218,3573,7434.JPG,How many buildings can be seen in this image?,29,Simple_Counting
2219,3574,7434.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2220,3575,7434.JPG,Is the entire road non flooded?,No,Yes/No_Road
2221,3576,7434.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2222,3577,7434.JPG,How many buildings are flooded?,29,Complex_Counting
2223,3583,7436.JPG,What is the condition of road?,flooded,Condition_Road
2224,3584,7436.JPG,How many buildings can be seen in the image?,30,Simple_Counting
2225,3585,7436.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2226,3586,7436.JPG,How many flooded buildings can be seen in this image?,30,Complex_Counting
2227,3587,7436.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2228,3593,7438.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2229,3594,7438.JPG,Is the entire road non flooded?,No,Yes/No_Road
2230,3595,7438.JPG,What is the condition of road?,flooded,Condition_Road
2231,3596,7438.JPG,How many buildings are in this image?,20,Simple_Counting
2232,3597,7438.JPG,How many buildings are flooded?,20,Complex_Counting
2233,3598,7439.JPG,What is the condition of road?,flooded,Condition_Road
2234,3599,7439.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2235,3600,7439.JPG,How many flooded buildings can be seen in this image?,11,Complex_Counting
2236,3601,7439.JPG,How many buildings can be seen in the image?,11,Simple_Counting
2237,3602,7439.JPG,Is the entire road non flooded?,No,Yes/No_Road
2238,3603,7440.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2239,3604,7440.JPG,How many buildings are in this image?,7,Simple_Counting
2240,3605,7440.JPG,How many buildings are flooded in this image?,7,Complex_Counting
2241,3606,7443.JPG,How many flooded buildings can be seen in this image?,1,Complex_Counting
2242,3607,7443.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2243,3608,7443.JPG,How many buildings are in the image?,1,Simple_Counting
2244,3612,7445.JPG,How many flooded buildings can be seen in this image?,6,Complex_Counting
2245,3613,7445.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
2246,3614,7445.JPG,How many buildings are in this image?,6,Simple_Counting
2247,3623,7448.JPG,How many buildings can be seen in the image?,9,Simple_Counting
2248,3624,7448.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2249,3625,7448.JPG,How many buildings are flooded?,9,Complex_Counting
2250,3626,7448.JPG,Is the entire road non flooded?,No,Yes/No_Road
2251,3627,7448.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2252,3628,7449.JPG,Is the entire road non flooded?,No,Yes/No_Road
2253,3629,7449.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2254,3630,7449.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2255,3631,7449.JPG,How many buildings are flooded?,7,Complex_Counting
2256,3632,7449.JPG,How many buildings can be seen in this image?,7,Simple_Counting
2257,3636,7451.JPG,What is the condition of road?,flooded,Condition_Road
2258,3637,7451.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2259,3638,7451.JPG,Is the entire road non flooded?,No,Yes/No_Road
2260,3639,7451.JPG,How many non flooded buildings can be seen in this image?,6,Complex_Counting
2261,3640,7451.JPG,How many buildings are in this image?,6,Simple_Counting
2262,3641,7452.JPG,How many buildings can be seen in this image?,4,Simple_Counting
2263,3642,7452.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2264,3643,7452.JPG,Is the entire road non flooded?,No,Yes/No_Road
2265,3644,7452.JPG,How many flooded buildings can be seen in this image?,4,Complex_Counting
2266,3645,7452.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2267,3646,7453.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2268,3647,7453.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2269,3648,7453.JPG,How many flooded buildings can be seen in this image?,2,Complex_Counting
2270,3649,7453.JPG,How many buildings can be seen in the image?,2,Simple_Counting
2271,3650,7453.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2272,3651,7454.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2273,3652,7454.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2274,3653,7454.JPG,How many buildings can be seen in the image?,2,Simple_Counting
2275,3654,7454.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2276,3655,7454.JPG,How many buildings are flooded?,2,Complex_Counting
2277,3666,7458.JPG,How many buildings can be seen in this image?,4,Simple_Counting
2278,3667,7458.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2279,3668,7458.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2280,3669,7458.JPG,How many non flooded buildings can be seen in this image?,4,Complex_Counting
2281,3670,7458.JPG,Is the entire road non flooded?,No,Yes/No_Road
2282,3671,7459.JPG,How many flooded buildings can be seen in this image?,5,Complex_Counting
2283,3672,7459.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2284,3673,7459.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2285,3674,7459.JPG,How many buildings can be seen in this image?,9,Simple_Counting
2286,3675,7459.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2287,3676,7459.JPG,How many buildings are non flooded?,4,Complex_Counting
2288,3677,7460.JPG,Is the entire road non flooded?,No,Yes/No_Road
2289,3678,7460.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2290,3679,7460.JPG,How many non flooded buildings can be seen in this image?,2,Complex_Counting
2291,3680,7460.JPG,How many buildings can be seen in this image?,10,Simple_Counting
2292,3681,7460.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2293,3682,7460.JPG,How many buildings are flooded in this image?,8,Complex_Counting
2294,3688,7462.JPG,Is the entire road non flooded?,No,Yes/No_Road
2295,3689,7462.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2296,3690,7462.JPG,How many buildings are non flooded?,1,Complex_Counting
2297,3691,7462.JPG,How many buildings are flooded?,9,Complex_Counting
2298,3692,7462.JPG,How many buildings are in the image?,10,Simple_Counting
2299,3693,7462.JPG,What is the condition of road?,flooded,Condition_Road
2300,3694,7463.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2301,3695,7463.JPG,How many buildings are in the image?,13,Simple_Counting
2302,3696,7463.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2303,3697,7463.JPG,How many buildings are non flooded in this image?,4,Complex_Counting
2304,3698,7463.JPG,How many buildings are flooded in this image?,9,Complex_Counting
2305,3699,7463.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2306,3705,7465.JPG,How many buildings can be seen in this image?,13,Simple_Counting
2307,3706,7465.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2308,3707,7465.JPG,What is the condition of road?,flooded,Condition_Road
2309,3708,7465.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2310,3709,7465.JPG,How many flooded buildings can be seen in this image?,13,Complex_Counting
2311,3710,7466.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2312,3711,7466.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2313,3712,7466.JPG,How many buildings are flooded?,14,Complex_Counting
2314,3713,7466.JPG,How many buildings are in this image?,14,Simple_Counting
2315,3714,7466.JPG,Is the entire road non flooded?,No,Yes/No_Road
2316,3715,7467.JPG,How many non flooded buildings can be seen in this image?,2,Complex_Counting
2317,3716,7467.JPG,How many buildings are flooded?,10,Complex_Counting
2318,3717,7467.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2319,3718,7467.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2320,3719,7467.JPG,What is the condition of road?,flooded,Condition_Road
2321,3720,7467.JPG,How many buildings are in the image?,12,Simple_Counting
2322,3726,7469.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2323,3727,7469.JPG,How many flooded buildings can be seen in this image?,14,Complex_Counting
2324,3728,7469.JPG,How many buildings are in this image?,14,Simple_Counting
2325,3729,7469.JPG,Is the entire road non flooded?,No,Yes/No_Road
2326,3730,7469.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2327,3731,7472.JPG,How many buildings are in this image?,14,Simple_Counting
2328,3732,7472.JPG,Is the entire road non flooded?,No,Yes/No_Road
2329,3733,7472.JPG,What is the condition of road?,flooded,Condition_Road
2330,3734,7472.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2331,3735,7472.JPG,How many buildings are flooded in this image?,13,Complex_Counting
2332,3736,7472.JPG,How many buildings are non flooded?,1,Complex_Counting
2333,3737,7473.JPG,How many flooded buildings can be seen in this image?,16,Complex_Counting
2334,3738,7473.JPG,How many buildings are in the image?,16,Simple_Counting
2335,3739,7473.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2336,3740,7473.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2337,3741,7473.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2338,3742,7474.JPG,How many buildings are flooded in this image?,16,Complex_Counting
2339,3743,7474.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2340,3744,7474.JPG,How many buildings can be seen in the image?,16,Simple_Counting
2341,3745,7474.JPG,What is the condition of road?,flooded,Condition_Road
2342,3746,7474.JPG,Is the entire road non flooded?,No,Yes/No_Road
2343,3747,7475.JPG,How many buildings are flooded in this image?,10,Complex_Counting
2344,3748,7475.JPG,How many buildings can be seen in the image?,10,Simple_Counting
2345,3749,7475.JPG,Is the entire road non flooded?,No,Yes/No_Road
2346,3750,7475.JPG,What is the condition of road?,flooded,Condition_Road
2347,3751,7475.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2348,3758,7477.JPG,How many non flooded buildings can be seen in this image?,3,Complex_Counting
2349,3759,7477.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2350,3760,7477.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2351,3761,7477.JPG,How many buildings can be seen in this image?,7,Simple_Counting
2352,3762,7477.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2353,3763,7477.JPG,How many buildings are flooded?,4,Complex_Counting
2354,3764,7481.JPG,How many buildings are flooded?,11,Complex_Counting
2355,3765,7481.JPG,How many non flooded buildings can be seen in this image?,2,Complex_Counting
2356,3766,7481.JPG,How many buildings can be seen in this image?,13,Simple_Counting
2357,3767,7481.JPG,Is the entire road non flooded?,No,Yes/No_Road
2358,3768,7481.JPG,What is the condition of road?,flooded,Condition_Road
2359,3769,7481.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2360,3775,7485.JPG,How many buildings are flooded?,17,Complex_Counting
2361,3776,7485.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2362,3777,7485.JPG,How many buildings can be seen in this image?,17,Simple_Counting
2363,3778,7485.JPG,Is the entire road non flooded?,No,Yes/No_Road
2364,3779,7485.JPG,What is the condition of road?,flooded,Condition_Road
2365,3785,7487.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2366,3786,7487.JPG,How many flooded buildings can be seen in this image?,16,Complex_Counting
2367,3787,7487.JPG,How many buildings can be seen in this image?,23,Simple_Counting
2368,3788,7487.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2369,3789,7487.JPG,How many buildings are non flooded?,7,Complex_Counting
2370,3790,7487.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2371,3791,7488.JPG,How many buildings are in the image?,16,Simple_Counting
2372,3792,7488.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2373,3793,7488.JPG,How many buildings are flooded?,16,Complex_Counting
2374,3794,7488.JPG,What is the condition of road?,flooded,Condition_Road
2375,3795,7488.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2376,3796,7489.JPG,Is the entire road non flooded?,No,Yes/No_Road
2377,3797,7489.JPG,How many buildings are flooded in this image?,16,Complex_Counting
2378,3798,7489.JPG,How many buildings are in this image?,16,Simple_Counting
2379,3799,7489.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2380,3800,7489.JPG,What is the condition of road?,flooded,Condition_Road
2381,3817,7520.JPG,How many buildings are in this image?,20,Simple_Counting
2382,3818,7520.JPG,What is the condition of road?,flooded,Condition_Road
2383,3819,7520.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2384,3820,7520.JPG,How many buildings are flooded in this image?,20,Complex_Counting
2385,3821,7520.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2386,3822,7521.JPG,How many buildings are flooded?,23,Complex_Counting
2387,3823,7521.JPG,Is the entire road non flooded?,No,Yes/No_Road
2388,3824,7521.JPG,How many buildings can be seen in the image?,23,Simple_Counting
2389,3825,7521.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2390,3826,7521.JPG,What is the condition of road?,flooded,Condition_Road
2391,3827,7522.JPG,What is the condition of road?,flooded,Condition_Road
2392,3828,7522.JPG,How many buildings are in the image?,23,Simple_Counting
2393,3829,7522.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2394,3830,7522.JPG,How many buildings are flooded?,23,Complex_Counting
2395,3831,7522.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2396,3832,7523.JPG,How many buildings can be seen in the image?,21,Simple_Counting
2397,3833,7523.JPG,How many buildings are flooded?,21,Complex_Counting
2398,3834,7523.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2399,3835,7523.JPG,Is the entire road non flooded?,No,Yes/No_Road
2400,3836,7523.JPG,What is the condition of road?,flooded,Condition_Road
2401,3837,7524.JPG,How many buildings are flooded?,22,Complex_Counting
2402,3838,7524.JPG,Is the entire road non flooded?,No,Yes/No_Road
2403,3839,7524.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2404,3840,7524.JPG,How many buildings can be seen in this image?,22,Simple_Counting
2405,3841,7524.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2406,3842,7525.JPG,How many buildings are flooded?,19,Complex_Counting
2407,3843,7525.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2408,3844,7525.JPG,How many buildings are in this image?,19,Simple_Counting
2409,3845,7525.JPG,What is the condition of road?,flooded,Condition_Road
2410,3846,7525.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2411,3847,7526.JPG,Is the entire road non flooded?,No,Yes/No_Road
2412,3848,7526.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2413,3849,7526.JPG,How many buildings are flooded?,17,Complex_Counting
2414,3850,7526.JPG,What is the condition of road?,flooded,Condition_Road
2415,3851,7526.JPG,How many buildings are in the image?,17,Simple_Counting
2416,3858,7542.JPG,Is the entire road non flooded?,No,Yes/No_Road
2417,3859,7542.JPG,How many buildings are flooded?,30,Complex_Counting
2418,3860,7542.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2419,3861,7542.JPG,How many buildings can be seen in this image?,30,Simple_Counting
2420,3862,7542.JPG,What is the condition of road?,flooded,Condition_Road
2421,3868,7545.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
2422,3869,7545.JPG,How many buildings are non flooded in this image?,9,Complex_Counting
2423,3870,7545.JPG,How many buildings can be seen in the image?,9,Simple_Counting
2424,3871,7546.JPG,What is the overall condition of the given image?,non flooded,Entire_Image_condition
2425,3872,7547.JPG,Is the entire road non flooded?,No,Yes/No_Road
2426,3873,7547.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2427,3874,7547.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2428,3875,7548.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2429,3876,7548.JPG,How many buildings can be seen in this image?,1,Simple_Counting
2430,3877,7548.JPG,How many buildings are non flooded?,1,Complex_Counting
2431,3878,7552.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2432,3879,7552.JPG,How many buildings are flooded in this image?,31,Complex_Counting
2433,3880,7552.JPG,Is the entire road non flooded?,No,Yes/No_Road
2434,3881,7552.JPG,How many buildings can be seen in this image?,31,Simple_Counting
2435,3882,7552.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2436,3888,7556.JPG,Is the entire road non flooded?,No,Yes/No_Road
2437,3889,7556.JPG,How many buildings are in this image?,13,Simple_Counting
2438,3890,7556.JPG,How many buildings are flooded?,13,Complex_Counting
2439,3891,7556.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2440,3892,7556.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2441,3893,7557.JPG,Is the entire road non flooded?,No,Yes/No_Road
2442,3894,7557.JPG,What is the condition of the road in this image?,flooded,Condition_Road
2443,3895,7557.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2444,3896,7557.JPG,How many buildings are flooded in this image?,15,Complex_Counting
2445,3897,7557.JPG,How many buildings are in the image?,15,Simple_Counting
2446,3903,7559.JPG,How many buildings are flooded?,20,Complex_Counting
2447,3904,7559.JPG,What is the condition of road?,flooded,Condition_Road
2448,3905,7559.JPG,How many buildings can be seen in this image?,20,Simple_Counting
2449,3906,7559.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2450,3907,7559.JPG,Is the entire road non flooded?,No,Yes/No_Road
2451,3908,7560.JPG,How many buildings are in this image?,23,Simple_Counting
2452,3909,7560.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2453,3910,7560.JPG,What is the condition of road?,flooded,Condition_Road
2454,3911,7560.JPG,How many buildings are flooded in this image?,23,Complex_Counting
2455,3912,7560.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2456,3913,7566.JPG,How many flooded buildings can be seen in this image?,23,Complex_Counting
2457,3914,7566.JPG,Is the entire road non flooded?,No,Yes/No_Road
2458,3915,7566.JPG,What is the condition of road?,flooded,Condition_Road
2459,3916,7566.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2460,3917,7566.JPG,How many buildings are in the image?,23,Simple_Counting
2461,3918,7567.JPG,How many buildings are in this image?,24,Simple_Counting
2462,3919,7567.JPG,How many buildings are flooded in this image?,24,Complex_Counting
2463,3920,7567.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2464,3921,7567.JPG,What is the condition of road?,flooded,Condition_Road
2465,3922,7567.JPG,Is the entire road flooded?,Yes,Yes/No_Road
2466,3923,7568.JPG,What is the overall condition of the given image?,flooded,Entire_Image_condition
2467,3924,7568.JPG,How many buildings are flooded in this image?,23,Complex_Counting
2468,3925,7568.JPG,How many buildings are non flooded?,2,Complex_Counting
2469,3926,7568.JPG,What is the condition of the road in this image?,flooded,Condition_Road
